player_id,player,position,team_name,player_game_count,pass_grade,offense_grade_passing_file,pass_attempts,aimed_passes,completions,accuracy_percent,avg_depth_of_target_x,avg_time_to_throw,big_time_throws,turnover_worthy_plays,sacks_x,scrambles,rec_grade,offense_grade_receiving_file,targets,receptions,yards_x,yards_per_reception,drops,drop_rate,avg_depth_of_target_y,yards_after_catch,rush_grade,offense_grade_rushing_file,rush_attempts,yards_y,yards_after_contact,breakaway_yards,first_downs,fumbles,rush_elusive_mtf,avoided_tackles,def_grade,coverage_grade,pass_rush_grade,run_defense_grade,tackle_grade,tackles,assists,stops,sacks_y,hits,hurries,interceptions,pass_break_ups,missed_tackles,forced_fumbles,pass_grade_pct,rec_grade_pct,rush_grade_pct,def_grade_pct,coverage_grade_pct,pass_rush_grade_pct,run_defense_grade_pct,tackle_grade_pct,role_bucket,class_year,player_name,stars,industry_rating,rank_natl,rank_pos,rank_state,nil_value_usd,profile_url,source,best_score,score_gap,match_status,is_5_star,is_4_star,pff_def_or_off,recruiting_pct,performance_pct,perf_minus_recruit
156642,Caden Veltkamp,QB,FAU,12,74.0,73.6,512.0,486.0,345.0,75.5,7.6,2.45,23.0,24.0,22.0,20.0,77.9,73.6,1.0,1.0,7.0,7.0,0.0,0.0,6.0,1.0,54.1,73.6,65.0,190.0,92.0,18.0,20.0,8.0,4.0,4.0,,,,,,,,,,,,,,,,82.6,75.0,12.4,,,,,,QB,2022.0,Caden Veltkamp,,83.725,,,,0.0,https://n.rivals.com/content/prospects/2022/caden-veltkamp-256662,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,28.5,82.6,54.1
146839,Sawyer Robertson,QB,BAYLOR,12,67.2,70.3,505.0,481.0,304.0,67.2,9.8,2.53,25.0,21.0,21.0,16.0,,,,,,,,,,,68.4,70.3,35.0,156.0,54.0,0.0,16.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,65.7,,67.3,,,,,,QB,2021.0,Sawyer Robertson,,92.15842391304348,,,,0.0,https://n.rivals.com/content/prospects/2021/sawyer-robertson-234499,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,90.5,65.7,-24.8
172203,Jaylen Raynor,QB,ARK STATE,13,68.5,74.7,503.0,476.0,331.0,73.5,8.5,2.71,17.0,21.0,31.0,39.0,,,,,,,,,,,75.1,74.7,132.0,606.0,410.0,120.0,37.0,7.0,28.0,41.0,,,,,,,,,,,,,,,,69.5,,87.7,,,,,,QB,2023.0,Jaylen Raynor,,78.99772727272727,,35.0,18.0,0.0,https://n.rivals.com/content/prospects/2023/jaylen-raynor-284233,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,1.3,69.5,68.2
169984,Darian Mensah,QB,DUKE,14,85.0,84.1,503.0,463.0,335.0,76.5,9.4,2.91,28.0,21.0,28.0,21.0,57.2,84.1,1.0,1.0,-11.0,-11.0,1.0,50.0,-11.0,0.0,49.2,84.1,37.0,143.0,30.0,0.0,10.0,9.0,1.0,3.0,,,,,,,,,,,,,,,,96.8,36.5,5.6,,,,,,QB,2023.0,Darian Mensah,,80.9090909090909,,65.0,89.0,1939860.0,https://n.rivals.com/content/athletes/darian-mensah-300683?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,8.7,96.8,88.1
198237,Jaron-Keawe Sagapolutele,QB,CAL,13,79.4,78.6,495.0,467.0,315.0,73.7,8.8,2.61,28.0,20.0,30.0,16.0,,,,,,,,,,,49.0,78.6,36.0,109.0,70.0,0.0,9.0,9.0,1.0,5.0,,,,,,,,,,,,,,,,91.2,,5.2,,,,,,QB,2025.0,Jaron-Keawe Sagapolutele,,96.15399193548386,20.0,4.0,1.0,0.0,https://n.rivals.com/content/athletes/jaron-sagapolutele-244377?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,96.5,91.2,-5.3
198729,Malik Washington,QB,MARYLAND,12,68.7,72.4,474.0,443.0,273.0,70.4,8.0,2.74,15.0,14.0,9.0,24.0,,,,,,,,,,,72.1,72.4,47.0,385.0,260.0,90.0,20.0,2.0,6.0,12.0,,,,,,,,,,,,,,,,70.5,,78.7,,,,,,QB,2025.0,Malik Washington,,93.97978260869564,176.0,15.0,3.0,0.0,https://n.rivals.com/content/prospects/2025/malik-washington-285246,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,92.1,70.5,-21.6
157008,Ty Simpson,QB,ALABAMA,15,81.4,83.1,474.0,446.0,306.0,75.3,8.6,2.95,30.0,17.0,30.0,33.0,,,,,,,,,,,68.2,83.1,70.0,292.0,158.0,43.0,21.0,7.0,3.0,17.0,,,,,,,,,,,,,,,,93.6,,66.5,,,,,,QB,2022.0,Ty Simpson,,97.24461781206172,30.0,3.0,2.0,2088842.0,https://n.rivals.com/content/prospects/2022/ty-simpson-215692,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,99.3,93.6,-5.7
158272,Kevin Jennings,QB,SMU,13,77.9,78.6,456.0,428.0,302.0,76.4,7.9,2.65,20.0,17.0,20.0,26.0,52.1,78.6,1.0,0.0,0.0,,0.0,,4.0,0.0,60.4,78.6,55.0,235.0,114.0,0.0,16.0,4.0,0.0,7.0,,,,,,,,,,,,,,,,88.5,17.3,36.2,,,,,,QB,2022.0,Kevin Jennings,,82.9,,60.0,124.0,0.0,https://n.rivals.com/content/prospects/2022/kevin-henry-jennings-271180,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,21.3,88.5,67.2
184162,Micah Alejado,QB,HAWAII,11,78.6,76.6,430.0,404.0,284.0,77.0,9.4,2.72,28.0,13.0,23.0,35.0,48.8,76.6,1.0,0.0,0.0,,0.0,,9.0,0.0,54.2,76.6,66.0,239.0,83.0,0.0,10.0,2.0,3.0,9.0,,,,,,,,,,,,,,,,89.0,11.5,12.7,,,,,,QB,2024.0,Micah Alejado,,82.56,,147.0,20.0,0.0,https://n.rivals.com/content/prospects/2024/micah-alejado-281190,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,12.4,89.0,76.6
158722,Noah Fifita,QB,ARIZONA,13,83.3,85.0,429.0,396.0,275.0,75.3,10.2,3.03,26.0,10.0,26.0,35.0,,,,,,,,,,,66.9,85.0,95.0,404.0,281.0,81.0,31.0,2.0,7.0,21.0,,,,,,,,,,,,,,,,95.5,,61.8,,,,,,QB,2022.0,Noah Fifita,,87.85,,19.0,20.0,0.0,https://n.rivals.com/content/prospects/2022/noah-fifita-257306,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,62.6,95.5,32.9
170131,Anthony Colandrea,QB,UNLV,14,83.0,90.1,418.0,394.0,275.0,74.4,10.0,2.86,29.0,15.0,25.0,38.0,,,,,,,,,,,82.7,90.1,111.0,801.0,389.0,223.0,49.0,9.0,19.0,32.0,,,,,,,,,,,,,,,,95.1,,97.1,,,,,,QB,2023.0,Anthony Colandrea,,83.4,,110.0,228.0,0.0,https://n.rivals.com/content/prospects/2023/anthony-colandrea-274230,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,25.8,95.1,69.3
127148,Josh Hoover,QB,TCU,12,78.9,76.8,413.0,399.0,272.0,73.2,8.9,2.54,24.0,21.0,19.0,19.0,,,,,,,,,,,51.0,76.8,45.0,115.0,41.0,0.0,9.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,89.8,,7.9,,,,,,QB,2022.0,Josh Hoover,,86.65,,42.0,91.0,2053352.0,https://n.rivals.com/content/prospects/2022/josh-hoover-268231,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,53.2,89.8,36.6
157688,Owen McCown,QB,UTSA,13,72.6,71.9,412.0,392.0,277.0,76.8,6.9,2.4,12.0,16.0,19.0,17.0,,,,,,,,,,,49.2,71.9,34.0,147.0,65.0,0.0,9.0,8.0,0.0,2.0,,,,,,,,,,,,,,,,79.4,,5.6,,,,,,QB,2022.0,Owen McCown,,86.6,,38.0,89.0,0.0,https://n.rivals.com/content/prospects/2022/owen-mccown-260805,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,52.3,79.4,27.1
173983,Dante Moore,QB,OREGON,15,90.2,90.2,412.0,390.0,295.0,80.3,8.3,2.54,30.0,13.0,19.0,22.0,,,,,,,,,,,61.4,90.2,62.0,295.0,75.0,49.0,19.0,9.0,0.0,2.0,,,,,,,,,,,,,,,,98.3,,40.6,,,,,,QB,2023.0,Dante Moore,,99.22137096774196,20.0,4.0,1.0,2282952.0,https://n.rivals.com/content/prospects/2023/dante-moore-232438,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,OFF,99.9,98.3,-1.6
